Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,Website,Junior Division Admission,Senior Division Admission,Masters Division Admission,League Cup
Pokemartes,24-09-009871,TCG: Standard,"September 03, 2024",Trading Card Game,None,,Complete,"September 04, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,100,pokemartes,14,14,0,0,14,League,,,,,,
Pokemartes,24-09-012263,TCG: Standard,"September 10, 2024",Trading Card Game,None,,Complete,"September 12, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,$100,pokemartes,8,7,0,0,8,League,,,,,,
"Kodama - Pokemon - Septiembre 13, 2024",24-09-012953,TCG: Standard,"September 13, 2024",Trading Card Game,None,,Complete,"September 14, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,,,46,44,2,1,43,League,,http://www.kodamatcg.com,,,,
The Nest - Liga Pokémon - Domingo 15 de Septiembre del 2024,24-09-013486,TCG: Standard,"September 15, 2024",Trading Card Game,None,,Complete,"September 15, 2024",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,,,19,15,0,2,17,League,,https://www.facebook.com/thenestgames,,,,
"Kodama - Pokemon - Septiembre 20, 2024",24-09-014337,TCG: Standard,"September 20, 2024",Trading Card Game,None,,Complete,"September 21, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,100,,41,38,1,1,39,League,,http://www.kodamatcg.com,,,,
LIGA POKEMON GAMESMART 2 OCTUBRE 2024,24-10-003960,TCG: Standard,"October 02, 2024",Trading Card Game,None,,Complete,"October 03, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,100,,22,22,0,0,22,League,,http://www.gamesmart.mx/,,,,
"Kodama - Pokemon - Octubre 4, 2024",24-10-006736,TCG: Standard,"October 04, 2024",Trading Card Game,None,,Complete,"October 04, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,100,,36,34,0,2,34,League,,http://www.kodamatcg.com,,,,
PokeMartes,24-10-012252,TCG: Standard,"October 15, 2024",Trading Card Game,None,,Complete,"October 18, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,$100,Otro de Martes de Poke,16,15,0,0,16,League,,,,,,
"Kodama - Pokemon - Octubre 18, 2024",24-10-006739,TCG: Standard,"October 18, 2024",Trading Card Game,None,,Complete,"October 19, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,100,,43,41,3,0,40,League,,http://www.kodamatcg.com,,,,
"Kodama - Pokemon - Octubre 25, 2024",24-10-006740,TCG: Standard,"October 25, 2024",Trading Card Game,None,,Complete,"October 26, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,100,,41,38,1,0,40,League,,http://www.kodamatcg.com,,,,
LIGA POKEMON GAMESMART 6 NOVIEMBRE 2024,24-11-007723,TCG: Standard,"November 06, 2024",Trading Card Game,None,,Complete,"November 07, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,100,,27,27,0,0,27,League,,http://www.gamesmart.mx/,,,,
LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024,24-11-012722,TCG: Standard,"November 20, 2024",Trading Card Game,None,,Complete,"November 21, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,100,,16,16,0,0,16,League,,http://www.gamesmart.mx/,,,,
LIGA POKEMON GAMESMART 04 DICIEMBRE 2024,24-12-006898,TCG: Standard,"December 04, 2024",Trading Card Game,None,,Complete,"December 05, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,100,,30,28,0,0,30,League,,http://www.gamesmart.mx/,,,,
The Nest - Liga Pokémon - Jueves 26 De Diciembre 2024,24-12-010214,TCG: Standard,"December 26, 2024",Trading Card Game,None,,Complete,"December 26, 2024",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,150,,20,19,0,1,19,League,,https://www.facebook.com/thenestgames,,,,
"Kodama - Pokemon - Diciembre 20, 2023",24-12-010464,TCG: Standard,"December 20, 2024",Trading Card Game,None,,Complete,"December 20, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,,,31,30,0,2,29,League,,http://www.kodamatcg.com,,,,
"Kodama - Pokemon - Enero 03, 2025",25-01-004898,TCG: Standard,"January 03, 2025",Trading Card Game,None,,Complete,"January 03, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,,,43,43,1,1,41,League,,http://www.kodamatcg.com,,,,
"Kodama - Pokemon - Enero 10, 2025",25-01-006877,TCG: Standard,"January 10, 2025",Trading Card Game,None,,Complete,"January 14, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,100,,63,60,1,2,60,League,,http://www.kodamatcg.com,,,,
"Kodama - Pokemon - Enero 17, 2025",25-01-006878,TCG: Standard,"January 17, 2025",Trading Card Game,None,,Complete,"January 17, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,100,,65,62,1,1,63,League,,http://www.kodamatcg.com,,,,
LIGA POKEMON GAMESMART 22 ENERO 2025,25-01-010765,TCG: Standard,"January 22, 2025",Trading Card Game,None,,Complete,"January 22, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,100,,26,26,0,0,26,League,,http://www.gamesmart.mx/,,,,
LIGA POKEMON GAMESMART 22 ENERO 2025,25-01-010765,TCG: Standard,"January 22, 2025",Trading Card Game,None,,Complete,"January 22, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,100,,26,26,0,0,26,League,,http://www.gamesmart.mx/,,,,
BATTLE STADIUM TCG 10 DE FEBRERO DE 2025,25-02-005610,TCG: Standard,"February 10, 2025",Trading Card Game,None,,Complete,"February 11, 2025",BATTLE STADIUM TCG,,,,YUC.,97000,Mexico,Map,$100,,28,28,0,1,27,League,,,,,,
