Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Website,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,League Cup,Junior Division Admission,Senior Division Admission,Masters Division Admission
PokeMartes,24-10-012252,TCG: Standard,"October 15, 2024",Trading Card Game,None,,Complete,"October 18, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,$100,Otro de Martes de Poke,16,15,0,0,16,League,,,,,
Torneo Challenge CDMX THE TOWER 28-04-25,25-04-011728,TCG: Standard,"April 28, 2025",Trading Card Game,(2025) TCG League Challenge April,Liga The Tower (April 2025),Complete,"April 30, 2025",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,100,"Los invitamos a participar en nuestro torneo challenge, demuestra quien es mejor entrenador y llevate los mejores premios en su casa THE TOWER TCG STORE",48,47,0,0,48,League Challenge,,,,,
"Kodama - Pokemon - Marzo 21, 2025",25-03-015441,TCG: Standard,"March 21, 2025",Trading Card Game,None,,Complete,"March 22, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,68,66,6,2,60,League,,,,,
Prelanzamiento Pokemon TCG Rivales Predestinados Kodama,25-05-013360,TCG: Limited,"May 17, 2025",Trading Card Game,(2025) Destined Rivals Prerelease,,Complete,"May 17, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,600,Por fin el momento de jugar con uno de los sets más esperados de Pokemon TCG RIVALES PREDESTINADOS ha llegado. Este tipo de torneo es recomendado para todo tipo de jugador como Principiantes o jugadores más experimentados.Horario:Inscripción: 1:00 pmInicio de armado de mazo 2:00 pmFormato: Limitado; PrelanzamientoCosto: $600Premios: Cada jugador aporta 1 sobre al pool de premios repartido al top según asistentes.Adicionalmente todos los jugadores reciben 3 sobres extra al finalizar el evento.¡¡Los esperamos!!¡Koi Koi Kodama!,75,74,0,2,73,Pre Release,Kodama League,,,,
Prelanzamiento de Escarlata & Purpura Corona Astral,24-08-010363,TCG: Limited,"August 31, 2024",Trading Card Game,(2025) Stellar Crown Prerelease,,Complete,"September 02, 2024",MASTERFORCE TCG,790 AV. UNIVERSIDAD,LOCAL 11 METRO PLAZA ZAPATA,MÉXICO D.F.,CDMX,03310,Mexico,Map,https://masterforcemx.com/,550,"¡Prepárate para el Pre-Lanzamiento de Corona Astral en Masterforce! 
¡Entrenadores Pokémon, la espera ha terminado! La nueva expansión Escarlata y Púrpura - Corona Astral está a punto de llegar, y en Masterforce estamos emocionados de invitarte a nuestro evento de Pre-Lanzamiento el 31 de agosto.
 31 de agosto 12:00 PM comienzan las inscripciones Masterforce TCG",31,29,0,0,31,Pre Release,MasterForce TCG,,,,
TCG League Challenge Kodama Diciembre 2024,24-12-008061,TCG: Standard,"December 13, 2024",Trading Card Game,(2025) TCG League Challenge December,Kodama League (December 2024),Complete,"December 13, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,150,,30,28,2,1,27,League Challenge,,,,,
CHALLENGE AGOSTO,24-08-003155,TCG: Standard,"August 26, 2024",Trading Card Game,(2025) TCG League Challenge August,Liga The Tower (August 2024),Complete,"September 01, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,150,NO FALTES !!!!!,48,47,0,0,48,League Challenge,,,,,
LIGA POKEMON GAMESMART 2 OCTUBRE 2024,24-10-003960,TCG: Standard,"October 02, 2024",Trading Card Game,None,,Complete,"October 03, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,22,22,0,0,22,League,,,,,
TCG League Challenge Kodama Septiembre 2024,24-09-012472,TCG: Standard,"September 27, 2024",Trading Card Game,(2025) TCG League Challenge September,Kodama League (September 2024),Complete,"September 28, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,150,,52,51,2,1,49,League Challenge,,,,,
The Nest - LEAGUE CHALLENGE TCG - Noviembre,24-11-012952,TCG: Standard,"November 28, 2024",Trading Card Game,(2025) TCG League Challenge November,The Nest (November 2024),Complete,"December 17, 2024",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,https://www.facebook.com/thenestgames,250,,13,12,0,0,13,League Challenge,,,,,
